,brand,model_name,bodyType,color,engineDisplacement,enginePower,fuelType,mileage,productionDate,vehicleTransmission,owners,pts,wd,wheel,state,tax,customs,price
1597,Kia,Kia Sportage III,внедорожник 5 дв.,чёрный,2.0,150,Бензин,189812,2013,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5250,Растаможен,1139000₽
1598,Jaguar,Jaguar F-Pace I,внедорожник 5 дв.,синий,2.0,240,Дизель,57540,2018,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,18000,Растаможен,3339000₽
1599,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1156852₽
1600,Chevrolet,Chevrolet Lanos I,седан,чёрный,1.5,86,Бензин,154000,2008,механическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,1032,Растаможен,
1601,Opel,Opel Antara I Рестайлинг,внедорожник 5 дв.,серый,2.2,184,Дизель,209556,2014,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,9200,Растаможен,1114000₽
1602,Toyota,Toyota RAV4 IV (CA40),внедорожник 5 дв.,чёрный,2.0,146,Бензин,118332,2013,вариатор,3 или более,Оригинал,передний,Левый,Не требует ремонта,5110,Растаможен,1405000₽
1603,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 989192₽
1604,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Голубой,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 901091₽
1605,Chevrolet,Chevrolet Cruze I Рестайлинг,универсал 5 дв.,чёрный,1.8,141,Бензин,162378,2013,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,4935,Растаможен,739000₽
1606,Renault,Renault Sandero II Рестайлинг,хэтчбек 5 дв.,белый,1.6,82,Бензин,38152,2021,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,984₽,Растаможен,789000₽
1607,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Коричневый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 1130000₽
1608,Renault,Renault Duster II,внедорожник 5 дв.,белый,1.5,109,Дизель,18040,2021,механическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,2725,Растаможен,1575000₽
1609,Kia,Kia Rio III Рестайлинг,седан,серебристый,1.6,123,Бензин,150129,2016,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,3075,Растаможен,873000₽
1610,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серебристый,1.6,123,бензин,,,Механическая,,,Передний,,,4182,,от 892180₽
1611,Kia,Kia Optima IV Рестайлинг,седан,белый,2.4,188,Бензин,61500,2018,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,9400,Растаможен,1699000₽
1612,Volkswagen,Volkswagen Jetta VI,седан,синий,1.4,150,Бензин,194600,2012,роботизированная,3 или более,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,570000₽
1613,Citroen,Citroen C4 II,хэтчбек 5 дв.,белый,1.6,120,Бензин,122000,2013,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,3000,Растаможен,559000₽
1614,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1024489₽
1615,Nissan,Nissan X-Trail III Рестайлинг,внедорожник 5 дв.,чёрный,2.0,144,Бензин,8400,2021,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5040,Растаможен,2118000₽
1616,Hyundai,Hyundai Tucson III Рестайлинг,внедорожник 5 дв.,бежевый,2.0,150,Бензин,13653,2020,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5250,Растаможен,2550000₽
1617,Mercedes-Benz,"Mercedes-Benz S-Класс 450 VI (W222, C217) Рестайлинг",седан,синий,3.0,367,Бензин,76700,2018,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,55050,Растаможен,6249000₽
1618,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 901980₽
1619,Kia,Kia K5 III,седан,синий,2.5,194,Бензин,30827,2020,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,9700,Растаможен,2730000₽
1620,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Коричневый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 761586₽
1621,Skoda,Skoda Rapid I Рестайлинг,лифтбек,белый,1.6,110,Бензин,52754,2018,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,2750,Растаможен,1090000₽
1622,Citroen,Citroen C4 II,седан,коричневый,1.6,115,Бензин,57740,2015,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2875,Растаможен,800000₽
1623,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Красный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1196175₽
1624,BMW,BMW X3 20d xDrive III (G01),внедорожник 5 дв.,белый,2.0,190,Дизель,30000,2020,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,10450,Растаможен,4397000₽
1625,Nissan,Nissan Sunny B14,седан,красный,1.6,120,Бензин,231094,1996,механическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,3000,Растаможен,149000₽
1626,Volkswagen,Volkswagen Touareg II Рестайлинг,внедорожник 5 дв.,чёрный,3.6,249,Бензин,82806,2016,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,18675,Растаможен,3125000₽
1627,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 761000₽
1628,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Синий,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1064198₽
1629,Hyundai,Hyundai Solaris I,хэтчбек 5 дв.,чёрный,1.6,123,Бензин,133700,2012,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,3075,Растаможен,490000₽
1630,Volkswagen,Volkswagen Jetta VI,седан,коричневый,1.4,122,Бензин,142000,2013,роботизированная,3 или более,Оригинал,передний,Левый,Не требует ремонта,3050,Растаможен,829000₽
1631,Kia,Kia Ceed I,универсал 5 дв.,пурпурный,1.6,115,Дизель,123000,2008,механическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,2875,Растаможен,539000₽
1632,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 820787₽
1633,Audi,Audi A3 III (8V),хэтчбек 5 дв.,белый,1.4,122,Бензин,165000,2013,передний,Оригинал,3 года и 6 месяцев,Левый,Не требует ремонта,3 или более,роботизированная,Растаможен,
1634,Audi,Audi Q5 I (8R) Рестайлинг,внедорожник 5 дв.,коричневый,2.0,225,Бензин,90136,2013,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,14625,Растаможен,1928000₽
1635,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Синий,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 791000₽
1636,Hyundai,Hyundai Santa Fe IV Рестайлинг,внедорожник 5 дв.,серый,2.2,199,Дизель,6884,2021,роботизированная,1 владелец,Оригинал,полный,Левый,Не требует ремонта,9950,Растаможен,4180000₽
1637,Skoda,Skoda Octavia IV (A8),лифтбек,зелёный,1.4,150,Бензин,20197,2021,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,2740000₽
1638,Mercedes-Benz,Mercedes-Benz Maybach S-Класс 560 I (X222) Рестайлинг,седан,белый,4.0,469,Бензин,75000,2018,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,70350,Растаможен,8250000₽
1639,Toyota,Toyota Venza I Рестайлинг,внедорожник 5 дв.,белый,2.7,185,Бензин,134881,2014,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,9250,Растаможен,2060000₽
1640,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Коричневый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 897675₽
1641,SsangYong,SsangYong Actyon II Рестайлинг,внедорожник 5 дв.,красный,2.0,149,Бензин,63678,2014,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5215,Растаможен,840000₽
1642,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Чёрный,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 1130000₽
1643,Cadillac,Cadillac Escalade IV,внедорожник 5 дв.,чёрный,6.2,409,Бензин,97384,2016,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,61350,Растаможен,4300000₽
1644,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 1028901₽
1645,Jeep,Jeep Renegade I,внедорожник 5 дв.,серебристый,1.4,140,Бензин,75418,2016,роботизированная,2 владельца,Оригинал,передний,Левый,Не требует ремонта,4900,Растаможен,1365000₽
1646,Nissan,Nissan Juke I,внедорожник 5 дв.,красный,1.6,190,Бензин,103840,2011,вариатор,2 владельца,Оригинал,полный,Левый,Не требует ремонта,9500,Растаможен,955000₽
1647,Hyundai,Hyundai Creta I,внедорожник 5 дв.,белый,2.0,149,Бензин,29142,2019,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5215,Растаможен,1590000₽
1648,Kia,Kia Rio III,седан,белый,1.4,107,Бензин,134860,2013,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2675,Растаможен,590000₽
1649,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Механическая,,,Передний,,,4182,,от 868305₽
1650,Volkswagen,Volkswagen Tiguan II Рестайлинг,внедорожник 5 дв.,коричневый,2.0,150,Дизель,2779,2020,роботизированная,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5250,Растаможен,
1651,Kia,Kia Rio IV,седан,серебристый,1.6,123,Бензин,63965,2018,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,3075,Растаможен,989000₽
1652,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Синий,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1043070₽
1653,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Синий,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1170088₽
1654,Skoda,Skoda Yeti I Рестайлинг,внедорожник 5 дв.,серый,1.6,110,Бензин,106656,2014,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2750,Растаможен,895000₽
1655,Audi,Audi A4 V (B9),седан,чёрный,1.4,150,Бензин,107116,2017,роботизированная,2 владельца,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,1820000₽
1656,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 756000₽
1657,Volkswagen,Volkswagen Polo V Рестайлинг,седан,чёрный,1.6,110,Бензин,83300,2017,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2750,Растаможен,939000₽
1658,Nissan,Nissan Qashqai II,внедорожник 5 дв.,белый,2.0,144,Бензин,45498,2018,вариатор,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5040,Растаможен,1593000₽
1659,Toyota,Toyota RAV4 III (XA30) Рестайлинг,внедорожник 5 дв.,серебристый,2.0,148,Бензин,45215,2012,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5180,Растаможен,1305000₽
1660,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Оранжевый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1077434₽
1661,Hyundai,Hyundai Santa Fe IV,внедорожник 5 дв.,синий,2.2,200,Дизель,27616,2020,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,10000,Растаможен,3525000₽
1662,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Бежевый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 716000₽
1663,Land,Land Rover Range Rover IV,внедорожник 5 дв.,серый,3.0,248,Дизель,56767,2016,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,18600,Растаможен,5430000₽
1664,BMW,BMW X4 28i I (F26),внедорожник 5 дв.,красный,2.0,245,Бензин,71813,2018,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,18375,Растаможен,3219000₽
1665,Kia,Kia Rio III Рестайлинг,седан,серебристый,1.6,123,Бензин,81450,2015,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,3075,Растаможен,876000₽
1666,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Голубой,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 986000₽
1667,Hyundai,Hyundai Tucson III Рестайлинг,внедорожник 5 дв.,синий,2.0,150,Бензин,30388,2020,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5250,Растаможен,2450000₽
1668,Suzuki,Suzuki SX4 I (Classic) Рестайлинг,хэтчбек 5 дв.,белый,1.6,112,Бензин,287727,2011,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2800,Растаможен,635000₽
1669,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Чёрный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1025580₽
1670,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Коричневый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 820637₽
1671,BMW,BMW X3 20i xDrive II (F25),внедорожник 5 дв.,синий,2.0,184,Бензин,142165,2013,автоматическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,9200,Растаможен,1395000₽
1672,Mercedes-Benz,Mercedes-Benz GLC 300 I (X253) Рестайлинг,внедорожник 5 дв.,чёрный,2.0,249,Бензин,1500,2021,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,18675,Растаможен,4690000₽
1673,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 989192₽
1674,Skoda,Skoda Rapid I Рестайлинг,лифтбек,белый,1.6,110,Бензин,107000,2018,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2750,3 года и 7 месяцев,1200000₽
1675,Volkswagen,Volkswagen Tiguan I,внедорожник 5 дв.,белый,2.0,140,Дизель,161915,2011,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,4760,Растаможен,969000₽
1676,Renault,Renault Logan II,седан,бежевый,1.6,82,Бензин,15340,2016,роботизированная,1 владелец,Оригинал,передний,Левый,Не требует ремонта,984₽,Растаможен,649000₽
1677,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 941400₽
1678,Mitsubishi,Mitsubishi Lancer X Рестайлинг,седан,красный,1.6,117,Бензин,100000,2013,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,2925,7 лет и 11 месяцев,
1679,Kia,Kia Picanto II Рестайлинг,хэтчбек 5 дв.,синий,1.3,85,Бензин,16483,2015,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,1020,Растаможен,984000₽
1680,Hyundai,Hyundai Santa Fe IV Рестайлинг,внедорожник 5 дв.,серый,2.2,199,Дизель,6884,2021,роботизированная,1 владелец,Оригинал,полный,Левый,Не требует ремонта,9950,Растаможен,4180000₽
1681,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Голубой,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1029000₽
1682,Volkswagen,Volkswagen Jetta VI,седан,коричневый,1.4,122,Бензин,142000,2013,роботизированная,3 или более,Оригинал,передний,Левый,Не требует ремонта,3050,Растаможен,829000₽
1683,Opel,Opel Antara I Рестайлинг,внедорожник 5 дв.,серый,2.2,184,Дизель,209556,2014,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,9200,Растаможен,1114000₽
1684,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Бежевый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 851000₽
1685,Volkswagen,Volkswagen Tiguan I Рестайлинг,внедорожник 5 дв.,белый,1.4,150,Бензин,123400,2011,механическая,2 владельца,Оригинал,полный,Левый,Не требует ремонта,5250,Растаможен,1030000₽
1686,Skoda,Skoda Octavia II (A5) Рестайлинг,лифтбек,серый,1.4,122,Бензин,167000,2010,роботизированная,3 или более,Оригинал,передний,Левый,Не требует ремонта,3050,Растаможен,579000₽
1687,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 796000₽
1688,Skoda,Skoda Octavia III (A7),лифтбек,серебристый,1.2,105,Бензин,91863,2013,роботизированная,2 владельца,Оригинал,передний,Левый,Не требует ремонта,2625,Растаможен,768000₽
1689,Hyundai,Hyundai Elantra VI (AD),седан,синий,2.0,150,Бензин,78686,2017,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,1488000₽
1690,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1039000₽
1691,Ford,Ford Mondeo IV Рестайлинг,седан,серебристый,2.3,161,Бензин,165317,2011,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,7245,Растаможен,671000₽
1692,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Коричневый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1108319₽
1693,Ford,Ford Focus III,хэтчбек 5 дв.,коричневый,1.6,105,Бензин,170690,2013,роботизированная,2 владельца,Оригинал,передний,Левый,Не требует ремонта,2625,Растаможен,580000₽
1694,Land,Land Rover Range Rover Sport I,внедорожник 5 дв.,чёрный,3.6,272,Дизель,245000,2008,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,40800,Растаможен,1025000₽
1695,Volkswagen,Volkswagen Polo V Рестайлинг,седан,белый,1.6,110,Бензин,275000,2017,передний,Оригинал,Растаможен,Левый,Не требует ремонта,2 владельца,автоматическая,XW8**************,600000₽
1696,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серебристый,1.6,123,бензин,,,Автоматическая,,,Передний,,,4182,,от 1078405₽
1697,Hyundai,Hyundai Elantra V (MD),седан,серый,1.6,132,Бензин,89380,2012,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,4620,Растаможен,905000₽
1698,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Голубой,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 986000₽
1699,Kia,Kia Soul III,хэтчбек 5 дв.,красный,2.0,150,Бензин,9295,2021,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,1875000₽
1700,Renault,Renault Duster I Рестайлинг,внедорожник 5 дв.,коричневый,2.0,143,Бензин,80000,2018,механическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5005,Растаможен,1195000₽
1701,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 895000₽
1702,BMW,BMW X3 30d xDrive III (G01),внедорожник 5 дв.,чёрный,3.0,249,Дизель,28400,2019,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,18675,Растаможен,4546000₽
1703,Renault,Renault Kaptur I,внедорожник 5 дв.,красный,2.0,143,Бензин,25074,2018,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,4862,Растаможен,1380000₽
1704,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Голубой,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 856000₽
1705,Mercedes-Benz,Mercedes-Benz M-Класс 350 CDI III (W166),внедорожник 5 дв.,коричневый,3.0,258,Дизель,142369,2013,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,38700,Растаможен,2130000₽
1706,Volvo,Volvo XC90 II Рестайлинг,внедорожник 5 дв.,серый,2.0,235,Дизель,55590,2020,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,17625,Растаможен,5924000₽
1707,Toyota,Toyota Camry VI (XV40),седан,чёрный,2.4,167,Бензин,337973,2006,передний,Оригинал,9 лет,Левый,Не требует ремонта,2 владельца,автоматическая,Растаможен,
1708,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 1028901₽
1709,Volkswagen,Volkswagen Touareg III,внедорожник 5 дв.,серебристый,3.0,249,Дизель,12655,2019,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,18675,Растаможен,5265000₽
1710,Audi,Audi A3 III (8V),хэтчбек 5 дв.,серый,1.4,122,Бензин,141628,2013,роботизированная,2 владельца,Оригинал,передний,Левый,Не требует ремонта,3050,Растаможен,
1711,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Серый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 871000₽
1712,Honda,Honda Accord V,седан,серебристый,2.2,150,Бензин,134712,1996,передний,Дубликат,Растаможен,Правый,Не требует ремонта,3 или более,автоматическая,№ CD31***********,160000₽
1713,Hyundai,Hyundai Solaris I Рестайлинг,седан,серый,1.6,123,Бензин,82000,2015,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,3075,Растаможен,869000₽
1714,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 711000₽
1715,Lifan,Lifan X60 I Рестайлинг 2,внедорожник 5 дв.,пурпурный,1.8,128,Бензин,41000,2017,механическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,4480,Растаможен,650000₽
1716,Skoda,Skoda Fabia II Рестайлинг,хэтчбек 5 дв.,синий,1.6,105,Бензин,122827,2012,автоматическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,2625,Растаможен,698000₽
1717,Volkswagen,Volkswagen Tiguan I Рестайлинг,внедорожник 5 дв.,жёлтый,2.0,170,Бензин,151920,2013,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,7650,Растаможен,1005000₽
1718,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1015665₽
1719,Renault,Renault Logan II,седан,бежевый,1.6,82,Бензин,15340,2016,роботизированная,1 владелец,Оригинал,передний,Левый,Не требует ремонта,984₽,Растаможен,649000₽
1720,Renault,Renault Megane II Рестайлинг,седан,чёрный,1.6,115,Бензин,154000,2007,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,2875,Растаможен,485000₽
1721,Kia,Kia Rio III,седан,красный,1.4,107,Бензин,94592,2013,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2675,Растаможен,665000₽
1722,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1077434₽
1723,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Чёрный,1.6,123,бензин,,,Автоматическая,,,Передний,,,4182,,от 1185725₽
1724,Renault,Renault Kaptur I,внедорожник 5 дв.,белый,1.6,114,Бензин,9000,2019,вариатор,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2850,Растаможен,1354000₽
1725,Mazda,Mazda CX-9 I Рестайлинг,внедорожник 5 дв.,белый,3.7,277,Бензин,163000,2013,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,41550,Растаможен,1275000₽
1726,Volkswagen,Volkswagen Golf VII,хэтчбек 5 дв.,чёрный,1.6,110,Бензин,66017,2014,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2750,Растаможен,1099000₽
1727,Nissan,Nissan Tiida I Рестайлинг,хэтчбек 5 дв.,чёрный,1.6,110,Бензин,94000,2012,автоматическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,2750,Растаможен,735000₽
1728,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Чёрный,1.6,123,бензин,,,Автоматическая,,,Передний,,,4182,,от 963805₽
1729,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Коричневый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 897675₽
1730,Renault,Renault Kaptur I Рестайлинг,внедорожник 5 дв.,белый,1.6,114,Бензин,4734,2021,вариатор,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2850,Растаможен,1540000₽
1731,Nissan,Nissan Tiida I,хэтчбек 5 дв.,серебристый,1.6,110,Бензин,139000,2008,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2750,Растаможен,559000₽
1732,Kia,Kia Soul II Рестайлинг,хэтчбек 5 дв.,чёрный,2.0,150,Бензин,66200,2018,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,5250,Растаможен,1530000₽
1733,Volkswagen,Volkswagen Polo V,седан,чёрный,1.6,105,Бензин,120000,2011,механическая,2 владельца,Оригинал,передний,Левый,Не требует ремонта,2625,Растаможен,599000₽
1734,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Коричневый,1.6,123,бензин,,,Механическая,,,Передний,,,4182,,от 820555₽
1735,Volkswagen,Volkswagen Polo V Рестайлинг,седан,бежевый,1.6,110,Бензин,106251,2017,автоматическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2750,Растаможен,866000₽
1736,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Коричневый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1174888₽
1737,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Красный,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 851000₽
1738,Volkswagen,Volkswagen Touareg I,внедорожник 5 дв.,чёрный,2.5,174,Дизель,206939,2006,автоматическая,3 или более,Оригинал,полный,Левый,Не требует ремонта,7830,Растаможен,690000₽
1739,Suzuki,Suzuki SX4 I (Classic) Рестайлинг,хэтчбек 5 дв.,чёрный,1.6,112,Бензин,104248,2013,механическая,1 владелец,Оригинал,передний,Левый,Не требует ремонта,2800,Растаможен,758000₽
1740,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Белый,1.6,123,бензин,,,Механическая,,,Передний,,,3075,,от 786000₽
1741,Toyota,Toyota Highlander II (U40) Рестайлинг,внедорожник 5 дв.,синий,3.5,273,Бензин,145839,2011,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,40950,Растаможен,1640000₽
1742,Nissan,Nissan X-Trail III,внедорожник 5 дв.,зелёный,2.0,144,Бензин,86000,2016,вариатор,1 владелец,Оригинал,полный,Левый,Не требует ремонта,5040,Растаможен,1650000₽
1743,Kia,Kia Sportage IV,внедорожник 5 дв.,белый,2.0,185,Дизель,130135,2017,автоматическая,1 владелец,Оригинал,полный,Левый,Не требует ремонта,9250,Растаможен,2157000₽
1744,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Оранжевый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1167493₽
1745,LADA,LADA (ВАЗ) Largus I,фургон,белый,1.6,106,Бензин,89км,2021,передний,Оригинал,Растаможен,Левый,Не требует ремонта,1 владелец,механическая,Рассмотрю варианты,954000₽
1746,Volkswagen,Volkswagen Jetta VI,седан,коричневый,1.6,85,Бензин,62581,2014,механическая,3 или более,Оригинал,передний,Левый,Не требует ремонта,1020,Растаможен,955000₽
1747,Hyundai,Hyundai Solaris II Рестайлинг,Седан,Коричневый,1.6,123,бензин,,,Автоматическая,,,Передний,,,3075,,от 1090671₽
